freq,component,flow_bucket,n,flow_score_mean,sh_ret_mean,ret_next1_mean,ret_next1_win,ret_next1_n,ret_next1_t,ret_next1_p,ret_next4_mean,ret_next4_win,ret_next4_n,ret_next4_t,ret_next4_p,alla_next1_mean,alla_next1_win,alla_next1_n,alla_next1_t,alla_next1_p,sh_ret_win,sh_ret_n,sh_ret_t,sh_ret_p
annual,rz_chg,中性,3,-0.47028086530516755,0.04090352487920305,-0.08076964273817988,0.3333333333333333,3,-0.7368556111122809,0.5379244855083153,-0.018806846377700775,0.5,2,,,-0.10360535613136994,0.3333333333333333,3,-0.9191825632819506,0.45503509484577365,0.6666666666666666,3,1.0272658317701893,0.4122973031734847
annual,rz_chg,流入,3,-0.3563429821863073,0.06784749974076887,0.1720352651771102,0.6666666666666666,3,0.8733193330265254,0.4745792024757166,0.2095696365872359,0.6666666666666666,3,1.1656619243311916,0.36396264148741064,0.18996281012038552,0.6666666666666666,3,0.9605495757744819,0.4381363037293583,0.6666666666666666,3,0.803371139213067,0.5060646312075032
annual,rz_chg,大幅流入,3,-0.09503195652617741,0.2838204265382755,0.07106865292205145,1.0,2,,,-0.13196998296351814,0.0,2,,,0.21523268592880185,1.0,2,,,1.0,3,2.30493298607338,0.147648072811835
quarterly,north_yi,大幅流出,8,-0.5631357740570907,0.015348970732311965,0.0069917777969868145,0.625,8,0.23567453466609556,0.8204318612465624,0.06473077925956162,0.875,8,1.8647504713776422,0.10448019467360448,0.012306359191487343,0.625,8,0.3444384329796423,0.7406327108199507,0.375,8,0.4649046026161111,0.6561148898728577
quarterly,north_yi,流出,8,-0.15373894220412,-0.06476658150193504,-0.00120951696598319,0.625,8,-0.026282135151665015,0.9797658675063341,0.012986896011342796,0.625,8,0.22581096617761687,0.8277998722629278,0.018862306801702075,0.75,8,0.33254925675699853,0.7492114999341745,0.25,8,-1.4281895526294452,0.19629643727599738
quarterly,north_yi,中性,8,-0.02815758342940486,0.008045482858807268,0.046168968482675155,0.625,8,1.2267456385081532,0.259574940252238,-0.036648874196145084,0.25,8,-0.6732597974989606,0.5223814818143326,0.060149890319081745,0.625,8,1.2354968531194133,0.2564983515884493,0.5,8,0.29135602722976695,0.779223368031089
quarterly,north_yi,流入,8,-0.11051810949296886,0.05442701643819112,0.0011362715893677988,0.5,8,0.03584410989685785,0.9724074006146152,-0.011809872358775206,0.5,8,-0.3048654650751988,0.7693333016468057,0.01730021851477266,0.5,8,0.3820552564571662,0.7137545706290099,0.5,8,1.186936668479387,0.27396684364415697
quarterly,north_yi,大幅流入,8,-0.10503318212668616,0.05938848115643933,-0.026119940667140823,0.125,8,-1.2712538038153198,0.2442483565590152,0.00627773674787957,0.5,8,0.14325479960860055,0.8901255363118744,-0.03504072132543394,0.125,8,-1.5672050516631941,0.16105142612173257,0.875,8,1.7964510779305278,0.11548266334319066
annual,north_yi,大幅流出,3,-0.5567332424116199,0.061266234692827805,0.06256969824490273,0.6666666666666666,3,0.6636153655962805,0.5751973391558262,-0.13818390803298622,0.0,1,,,0.08258611597848542,0.6666666666666666,3,0.7044403041264266,0.554137073303322,0.6666666666666666,3,1.224694940837688,0.3453615805509762
annual,north_yi,流出,2,-0.47157753539617087,0.20281373853961682,0.07985859782249183,1.0,2,,,-0.05499019712950686,0.5,2,,,0.19080910575081889,1.0,2,,,0.5,2,,
annual,north_yi,中性,2,-0.5404725965969973,-0.04283538564547307,-0.14145972160053977,0.0,2,,,0.1835316671686213,1.0,2,,,-0.16820967836126893,0.0,2,,,0.5,2,,
annual,north_yi,流入,2,-0.3086201918335349,-0.053623983956185395,0.13551769317890272,1.0,2,,,0.10190003368175815,0.5,2,,,0.21209493890474085,1.0,2,,,0.5,2,,
annual,north_yi,大幅流入,2,-0.10321018937024223,0.13551769317890272,-0.006292714523309373,0.5,2,,,0.032878466000062175,0.5,2,,,0.0424584955343828,0.5,2,,,1.0,2,,
quarterly,inc_capital,大幅流出,13,-0.3231213359744316,-0.053860000026461366,0.022237570787400955,0.5384615384615384,13,1.0334077441386362,0.3217911707873475,-0.001977378065667542,0.5384615384615384,13,-0.05337034853293129,0.9583150396929709,0.043194202236290516,0.6923076923076923,13,1.4103331762320759,0.18383293110967122,0.38461538461538464,13,-1.66427025632601,0.12193184565625678
quarterly,inc_capital,流出,13,-0.2504783183869008,-0.03707169139493776,0.009791467288422498,0.5384615384615384,13,0.36637128861417106,0.7204661369846493,-0.0006254163126598632,0.46153846153846156,13,-0.017015834231936915,0.9867036270243358,0.024966700836955215,0.6923076923076923,13,0.750682870105046,0.4673090103962297,0.23076923076923078,13,-2.337571746100448,0.03755082201203041
quarterly,inc_capital,中性,13,-0.14290353710321424,-0.002370671000080559,0.007971651005247642,0.5384615384615384,13,0.386386579516922,0.7059741293105443,0.16757143155525078,0.6923076923076923,13,1.6398327620823159,0.12697236905864343,8.244633455125946e-05,0.5384615384615384,13,0.0032480982147359196,0.9974617700061496,0.5384615384615384,13,-0.15588290744917896,0.8787169222995714
