date,top_ret,bot_ret,spread,top_ex,bot_ex,n
2008-03-31,-0.242990112430862,-0.33845786930440963,0.09546775687354764,0.06298993391757363,-0.03247782295597399,16
2008-06-30,-0.26252279831446373,-0.1860569994117135,-0.07646579890275024,-0.05253179118020058,0.02393400772254964,16
2008-09-30,-0.09481551448231973,-0.18023068708321296,0.08541517260089324,0.03855919115911802,-0.04685598144177521,16
2008-12-31,0.3883358216886685,0.5933720569664551,-0.20503623527778664,-0.055022936412972644,0.15001329886481402,16
2009-03-31,0.19220963735245675,0.20577199643542587,-0.013562359082969128,-0.000744548845642438,0.012817810237326699,16
2009-06-30,0.01916856344296003,0.01323808348016627,0.005930479962793759,0.03221467499161779,0.026284195028824026,16
2009-09-30,0.1928797006831994,0.25311635800905524,-0.06023665732585584,-0.07924526956195162,-0.019008612236095773,16
2009-12-31,0.0628504187019557,-0.06422097575808823,0.12707139446004392,0.04425413803760766,-0.08281725642243627,16
2010-03-31,-0.2292761530026558,-0.20770226345036377,-0.02157388955229203,-0.007500805960833634,0.014073083591458405,16
2010-06-30,0.3366931094976731,0.18950893024198198,0.14718417925569113,0.08626856705177706,-0.060915612203914095,16
2010-09-30,0.07678085833193722,0.02609192493012073,0.05068893340181649,0.03021571407148115,-0.020473219330335354,16
2010-12-31,0.009301347481676547,0.06815135740350464,-0.058850009921828095,-0.018613433808667458,0.040236576113160644,16
2011-03-31,-0.05198729189834258,-0.09848557294374789,0.046498281045405314,0.011090530042150626,-0.035407751003254696,16
2011-06-30,-0.16734517012022024,-0.17210881174945078,0.004763641629230542,-0.028009519724180126,-0.03277316135341065,16
2011-09-30,-0.15456821873960988,-0.15194350927354128,-0.0026247094660686032,-0.01585018070245749,-0.013225471236388897,16
2011-12-31,0.03993223362967746,0.04454689921299019,-0.004614665583312728,-0.00530250970931737,-0.0006878441260046419,16
