quarter,sh_ret,alla_ret,flow_score,flow_bucket,scissors,m2_yoy,amount_yoy,north_yi,rz_chg,ipo_yi,inc_capital,ret_next1,ret_next4,alla_next1
1997Q1,0.3463388941111296,0.3543298676520945,-0.301639995955276,中性,-2.3000000000000007,23.84,5.9248234625775416,,,,,0.012680045714581922,0.006802919447893636,0.010372965960032898
1997Q2,0.012680045714581922,0.010372965960032898,-0.17762558359163463,中性,4.809999999999999,21.51,0.4010532149005255,,,,,-0.1222845908730259,0.07112852243351853,-0.12405550139350374
1997Q3,-0.1222845908730259,-0.12405550139350374,-0.3184500919802104,中性,-0.3999999999999986,23.33,-0.31628943482783634,,,,,0.0881360473052708,0.13260001293987592,0.09944044764188642
1997Q4,0.0881360473052708,0.09944044764188642,-0.3235506380537987,中性,2.5,19.6,-0.6284589130064053,,,,,0.04096299981073637,-0.03969677632229081,0.04255890586424527
1998Q1,0.04096299981073637,0.04255890586424527,-0.6511177741788128,大幅流出,-1.2400000000000002,15.18,-0.40976631413601083,,,,,0.07738114392735085,-0.06835149346428357,0.08322161257451133
1998Q2,0.07738114392735085,0.08322161257451133,-0.8485787904555208,大幅流出,-5.640000000000001,14.34,0.07539233428956016,,,,,-0.07191297504035987,0.26151842664512165,-0.070555190460175
1998Q3,-0.07191297504035987,-0.070555190460175,-0.551871927807541,大幅流出,-2.990000000000002,16.19,0.11505835618247029,,,,,-0.07739666070210216,0.263743708242685,-0.07670901446365763
1998Q4,-0.07739666070210216,-0.07670901446365763,-0.5638804780558156,大幅流出,-2.9000000000000004,14.8,0.1604692626759201,,,,,0.009901456353013094,0.19175023981860997,0.010707292995615125
1999Q1,0.009901456353013094,0.010707292995615125,-0.41142599795153273,流出,-2.9200000000000017,17.85,0.11070261070207144,,,,,0.4588507962495705,0.5545259547482241,0.4522748936273775
1999Q2,0.4588507962495705,0.4522748936273775,-0.3841133223776516,流出,-2.709999999999999,17.65,0.908610849701303,,,,,-0.07027585668048597,0.14127740276590653,-0.06775677964397508
1999Q3,-0.07027585668048597,-0.06775677964397508,-0.3084977494918393,中性,-0.4900000000000002,15.32,1.179533550928625,,,,,-0.12995590506665178,0.21611928933686972,-0.13003254213970405
1999Q4,-0.12995590506665178,-0.13003254213970405,-0.08545715059485703,流入,3.0,14.7,0.1494009217664003,,,,,0.31732134232902576,0.5172745100908837,0.3193753013292926
2000Q1,0.31732134232902576,0.3193753013292926,0.0381584759455725,流入,5.699999999999999,13.0,3.4868527166662826,,,,,0.07103612048493946,0.17361718674054633,0.06895799281791959
2000Q2,0.07103612048493946,0.06895799281791959,0.24364989458167588,大幅流入,10.0,13.7,-0.15417203997103157,,,,,-0.009307060918849919,0.15036673294932945,-0.010418045247905239
2000Q3,-0.009307060918849919,-0.010418045247905239,0.04540401215887111,大幅流入,7.4,13.4,0.24786175237904762,,,,,0.085498552216279,-0.07606374541203603,0.08192703778788024
